date,close,volume,relative_volume,ma_alignment,price_vs_sma_50_pct,rsi_14,rsi_overbought,rsi_oversold,atr_14,atr_pct,market_stage,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,sma_5_diff_pct,sma_10_diff_pct,sma_20_diff_pct,sma_50_diff_pct,sma_100_diff_pct,sma_200_diff_pct
2022-10-25,4590.0,233948800,1.4281358303017975,0,3.3132258935806207,61.012396416292226,0,0,89.688845698277,1.9540053529036385,unknown,4442.0,4382.0,4438.5,4442.8,4362.5,,1.3692377909630293,0.3664681630783262,0.0676361176868534,0.13071895424836555,0.03668967414984792,
2022-10-26,4530.0,178298500,1.082971170676174,0,1.8481046809658668,56.119791187216734,0,0,91.1400606654588,2.011921868994676,unknown,4488.0,4395.0,4439.0,4447.8,4363.8,,1.035569563259786,0.296668188041993,0.01126506702715524,0.11254164040694903,0.02979942693410731,
2022-10-27,4600.0,131385300,0.8073369950019081,0,3.2965058834096874,60.13615252048385,0,0,89.62965213382493,1.9484706985614115,unknown,4530.0,4420.0,4445.0,4453.2,4365.1,,0.9358288770053402,0.5688282138794021,0.1351655778328409,0.121408336705775,0.029790549521058196,
2022-10-28,4630.0,227256400,1.3951485742274725,0,3.8163146329431767,61.751929873802574,0,0,88.22718562010888,1.9055547650131506,unknown,4570.0,4456.0,4452.0,4459.8,4366.5,,0.8830022075055233,0.8144796380090469,0.15748031496063408,0.14820803018056328,0.032072575656916236,
2022-10-31,4650.0,275184000,1.631477150417985,0,4.087388637686359,62.83348235965019,0,0,85.4960421660391,1.8386245627105182,unknown,4600.0,4491.0,4458.0,4467.4,4369.0,,0.6564551422319376,0.7854578096947895,0.13477088948787852,0.17041122920309348,0.0572540936677024,
2022-11-01,4660.0,230590200,1.3776215052869218,0,4.143387118401636,63.390901396203596,0,0,84.38894480191252,1.8109215622728005,unknown,4614.0,4528.0,4459.0,4474.6,4372.2,,0.3043478260869481,0.8238699621465173,0.022431583669813016,0.16116756950352862,0.07324330510414256,
2022-11-02,4610.0,163816900,0.9841135819045109,0,2.8788216915866993,58.65412208153824,0,0,86.2186699259462,1.8702531437298524,unknown,4630.0,4559.0,4462.5,4481.0,4374.7,,0.346770697876031,0.6846289752650225,0.07849293563579884,0.14302954454028516,0.057179451992128705,
2022-11-03,4650.0,174423000,1.0319958472377768,0,3.5957759657799673,61.15485678787273,0,0,85.05997943840107,1.829246869643034,unknown,4640.0,4585.0,4469.5,4488.6,4376.7,,0.21598272138227959,0.5703005044966014,0.15686274509802978,0.16960499888418745,0.045717420623136995,
2022-11-04,4650.0,85292300,0.5119711829642867,0,3.420666340465286,61.15485678787274,0,0,82.55526550781711,1.7753820539315508,unknown,4644.0,4607.0,4480.0,4496.2,4378.9,,0.08620689655172153,0.4798255179934596,0.2349256068911565,0.1693178273849183,0.05026618228345381,
2022-11-07,4690.0,112070500,0.6896508435877696,0,4.1065482796892345,63.701090962516865,0,0,82.37271746363297,1.7563479203333257,unknown,4652.0,4626.0,4496.0,4505.0,4382.1,,0.17226528854434875,0.4124158888647811,0.3571428571428559,0.19572083092389558,0.07307771358104898,
2022-11-08,4620.0,80916300,0.5061635992805043,0,2.3890784982935194,56.6971055028884,0,0,82.20321257188205,1.7792903154087023,unknown,4644.0,4629.0,4505.5,4512.2,4384.3,,-0.17196904557179593,0.06485084306095956,0.2112989323843406,0.15982241953385046,0.050204239976259224,
2022-11-09,4650.0,126493900,0.7918263058698348,0,2.912535410764881,58.78844832582259,0,0,79.90266711575397,1.7183369272205156,unknown,4652.0,4641.0,4518.0,4518.4,4387.0,,0.17226528854434875,0.25923525599480524,0.2774386860503908,0.13740525685916882,0.06158337704993411,
2022-11-10,4530.0,196277400,1.1942651877004147,0,0.1946385915243781,48.66420429362054,0,0,83.4815044882271,1.84285881872466,unknown,4628.0,4634.0,4527.0,4521.2,4389.1,,-0.5159071367153878,-0.15082956259426794,0.19920318725099584,0.061968838526915704,0.04786870298609802,
2022-11-11,4650.0,153238500,0.9402877097474501,0,2.7578891540705426,56.6955421589821,0,0,86.09027741523975,1.8514038153815002,unknown,4628.0,4636.0,4546.0,4525.2,4392.5,,0.0,0.04315925766076312,0.41970399823283433,0.08847208705653475,0.0774646282836855,
2022-11-14,4580.0,140187600,0.8616119050141889,0,1.2154696132596685,51.622078407296904,0,0,87.08393830377057,1.9013960328334185,unknown,4606.0,4629.0,4560.0,4525.0,4394.9,,-0.4753673292999139,-0.15099223468507672,0.30796304443467815,-0.004419694157165033,0.054638588503119756,
2022-11-15,4580.0,87986300,0.5532651214709787,0,1.2065231802713654,51.622078407296904,0,0,84.43481504651086,1.8435549136792764,unknown,4598.0,4621.0,4574.5,4525.4,4397.9,,-0.17368649587494733,-0.17282350399654423,0.31798245614034215,0.008839779005520576,0.06826093881544537,
2022-11-16,4520.0,245789200,1.469711710675793,0,-0.14580479830337037,47.40508291475085,0,0,86.97542630920543,1.9242350953364031,unknown,4572.0,4612.0,4585.5,4526.6,4400.1,,-0.5654632448890862,-0.1947630383034027,0.2404634386271809,0.026516992973002473,0.05002387503127981,
2022-11-17,4670.0,214514600,1.2582536112353637,0,3.136042402826855,56.88707934646781,0,0,92.90627521329424,1.9894277347600478,unknown,4600.0,4614.0,4599.5,4528.0,4405.0,,0.6124234470691103,0.043365134431927466,0.3053102169883415,0.030928290549181447,0.11136110542941946,
2022-11-18,4610.0,105313200,0.6287391634447077,0,1.8109540636042403,52.787565822741094,0,0,91.26997891313988,1.979826006792622,unknown,4592.0,4610.0,4608.5,4528.0,4409.6,,-0.17391304347825765,-0.0866926744690022,0.19567344276552046,0.0,0.1044267877412075,
2022-11-21,4590.0,82279300,0.5070733575857137,0,1.3558274080289634,51.45643180503969,0,0,89.75057935109388,1.9553503126599974,unknown,4594.0,4600.0,4613.0,4528.6,4414.1,,0.043554006968649084,-0.2169197396963085,0.09764565476835241,0.013250883392235124,0.10205007256893772,
2022-11-22,4590.0,154866000,0.9782515798062486,0,1.3513513513513473,51.45643180503969,0,0,90.48273244123122,1.971301360375408,unknown,4596.0,4597.0,4613.0,4528.8,4419.6,,0.04353504571179556,-0.06521739130435078,0.0,0.004416375921922899,0.12460071135678152,
2022-11-23,4670.0,147280600,0.939540754120641,0,3.0768551626716025,56.54042519537285,0,0,89.73391681910434,1.9214971481606926,unknown,4626.0,4599.0,4620.0,4530.6,4425.4,,0.6527415143603221,0.04350663476180294,0.15174506828528056,0.03974562798092496,0.1312335958005173,
2022-11-24,4720.0,156735700,0.9918374298796344,0,4.12989763501588,59.40223093771076,0,0,88.32426564439449,1.8712768144998833,unknown,4636.0,4618.0,4626.0,4532.8,4431.8,,0.2161694768698652,0.41313328984562414,0.12987012987013546,0.0485586897982504,0.14461969539478758,
